branch,feature,mean_abs_shap
efficientnet_b0_image_encoder,efficientnet_feature_275,0.000845377508284173
efficientnet_b0_image_encoder,efficientnet_feature_276,0.006071312585390842
efficientnet_b0_image_encoder,efficientnet_feature_277,0.006432156991536431
efficientnet_b0_image_encoder,efficientnet_feature_278,0.0021980544374855526
efficientnet_b0_image_encoder,efficientnet_feature_279,0.006668975661625609
efficientnet_b0_image_encoder,efficientnet_feature_280,0.003137482974921113
efficientnet_b0_image_encoder,efficientnet_feature_281,0.003401551653524848
efficientnet_b0_image_encoder,efficientnet_feature_282,0.006690893523966679
efficientnet_b0_image_encoder,efficientnet_feature_283,0.0011115048663583593
efficientnet_b0_image_encoder,efficientnet_feature_284,0.0008219407320844141
efficientnet_b0_image_encoder,efficientnet_feature_285,0.0012967547625635234
efficientnet_b0_image_encoder,efficientnet_feature_286,0.0038545899144537543
efficientnet_b0_image_encoder,efficientnet_feature_287,0.0025589095531302064
efficientnet_b0_image_encoder,efficientnet_feature_288,0.0032466487425395485
efficientnet_b0_image_encoder,efficientnet_feature_289,0.003041771382953584
efficientnet_b0_image_encoder,efficientnet_feature_290,0.006057719683553842
efficientnet_b0_image_encoder,efficientnet_feature_291,0.0009743343303938445
efficientnet_b0_image_encoder,efficientnet_feature_292,0.0027478906506956946
efficientnet_b0_image_encoder,efficientnet_feature_293,0.004216083278606675
efficientnet_b0_image_encoder,efficientnet_feature_294,0.0047127617032174385
efficientnet_b0_image_encoder,efficientnet_feature_295,0.0010290421602903166
efficientnet_b0_image_encoder,efficientnet_feature_296,0.0037019721415845197
efficientnet_b0_image_encoder,efficientnet_feature_297,0.00539116259506045
efficientnet_b0_image_encoder,efficientnet_feature_298,0.0026890044577498884
efficientnet_b0_image_encoder,efficientnet_feature_299,0.002822404064318107
efficientnet_b0_image_encoder,efficientnet_feature_300,0.0015079762450227463
efficientnet_b0_image_encoder,efficientnet_feature_301,0.0053941434773037145
efficientnet_b0_image_encoder,efficientnet_feature_302,0.0011679005469460435
efficientnet_b0_image_encoder,efficientnet_feature_303,0.0007926595640697087
efficientnet_b0_image_encoder,efficientnet_feature_304,0.004654340015576963
efficientnet_b0_image_encoder,efficientnet_feature_305,0.0019232724806101942
efficientnet_b0_image_encoder,efficientnet_feature_306,0.003378536152467859
efficientnet_b0_image_encoder,efficientnet_feature_307,0.0040080430910620635
efficientnet_b0_image_encoder,efficientnet_feature_308,0.013476812922817771
efficientnet_b0_image_encoder,efficientnet_feature_309,0.006521048162426268
efficientnet_b0_image_encoder,efficientnet_feature_310,0.006423259219104693
efficientnet_b0_image_encoder,efficientnet_feature_311,0.000421868266364811
efficientnet_b0_image_encoder,efficientnet_feature_312,0.0011791123606883502
efficientnet_b0_image_encoder,efficientnet_feature_313,0.0007538992184414894
efficientnet_b0_image_encoder,efficientnet_feature_314,0.00290747001707814
efficientnet_b0_image_encoder,efficientnet_feature_315,0.006861552798000048
efficientnet_b0_image_encoder,efficientnet_feature_316,0.0001844042429937076
efficientnet_b0_image_encoder,efficientnet_feature_317,0.0027389519132299256
efficientnet_b0_image_encoder,efficientnet_feature_318,0.002525505529234806
efficientnet_b0_image_encoder,efficientnet_feature_319,0.004722143170511117
efficientnet_b0_image_encoder,efficientnet_feature_320,0.0016555819199055577
efficientnet_b0_image_encoder,efficientnet_feature_321,0.004924425453580739
efficientnet_b0_image_encoder,efficientnet_feature_322,0.004945100910845213
efficientnet_b0_image_encoder,efficientnet_feature_323,0.004997467756993501
efficientnet_b0_image_encoder,efficientnet_feature_324,0.00368598057627878
efficientnet_b0_image_encoder,efficientnet_feature_325,0.006130208721174313
efficientnet_b0_image_encoder,efficientnet_feature_326,0.0009711351786378941
efficientnet_b0_image_encoder,efficientnet_feature_327,0.00485666416722097
efficientnet_b0_image_encoder,efficientnet_feature_328,0.008021503192935597
efficientnet_b0_image_encoder,efficientnet_feature_329,0.0030588175786760985
efficientnet_b0_image_encoder,efficientnet_feature_330,0.00020980703035933246
efficientnet_b0_image_encoder,efficientnet_feature_331,0.0003662807322939443
efficientnet_b0_image_encoder,efficientnet_feature_332,0.0018027542178060685
efficientnet_b0_image_encoder,efficientnet_feature_333,0.003908314364252874
efficientnet_b0_image_encoder,efficientnet_feature_334,0.004224585859219587
efficientnet_b0_image_encoder,efficientnet_feature_335,0.0011794968928029448
efficientnet_b0_image_encoder,efficientnet_feature_336,0.002896735069555234
efficientnet_b0_image_encoder,efficientnet_feature_337,0.0021840853153491935
efficientnet_b0_image_encoder,efficientnet_feature_338,0.0027794142831538693
efficientnet_b0_image_encoder,efficientnet_feature_339,0.0003816935873288685
efficientnet_b0_image_encoder,efficientnet_feature_340,0.005011732521779777
efficientnet_b0_image_encoder,efficientnet_feature_341,0.004109446667143857
efficientnet_b0_image_encoder,efficientnet_feature_342,0.004481623502726961
efficientnet_b0_image_encoder,efficientnet_feature_343,0.00372658070534726
efficientnet_b0_image_encoder,efficientnet_feature_344,0.0015583535357492906
efficientnet_b0_image_encoder,efficientnet_feature_345,0.006643891488238296
